# contains data for building a weighted social digraph
# lines beginning with '#' should be ignored
# begin vertex data
# format: Name,Age,Height,Weight
Jayme Buchholz,15,154.94,150.0
Nicoleta Kita,22,172.5,177.3
Greer Hatheway,45,178.77,201.0
Babirye Torres,34,161.1,163.0
Fabien Montagne,25,190.15,213.22
Gore Hardwick,5,91.44,85.5
Tina Capello,12,135.636,115.0
Raghu Pellegrino,58,180.34,275.15
Regina Wright,40,180.34,145.5
Myles Hannigan,37,193.04,181.22
Mesut Nigro,19,189.0,201.11
Iolyn Palafox,57,144.1,169.5
Boronia Gospeed,68,164.7,124.7
Perdita Akridge,70,152.4,116.6
Berwyn Wickline,31,158.6,204.5
Shunnar Dutra,64,154.1,134.5
Evonne Briones,32,153.8,139.4
Alejandro Mcclelland,31,151.2,181.5
Paula Munn,35,164.3,118.1
Flavian Burnley,27,143.5,176.6
Narendra Neel,44,161.2,184.6
Molly Zhou,62,152.6,165.9
# begin edge data
# format: sourceID,destID,weight
EDGES:
19,11,56.66722270108784
19,8,74.90045127481935
17,9,23.839398572118576
9,8,19.577522746914855
17,13,12.301824609516487
0,21,45.237576998228356
15,13,85.40250658618803
3,7,97.41101689041939
20,8,12.526571641601414
5,21,5.7136056337384495
18,10,80.56235234729172
2,6,49.18569134221502
1,10,6.614242269697113
13,6,38.50467223837497
12,0,70.34910009383229
18,7,95.61578924293414
16,4,65.3711408164666
12,1,63.781645861703474
14,9,40.20582574500862
5,16,34.38259303066068
2,5,94.49211370570454
8,2,3.0905991240186115
15,6,57.34065192986157
11,20,3.7933531405391907
11,3,81.14330884282609
6,3,2.3049165601856103
12,11,16.97600883597803
11,12,33.755136586942626
10,6,58.42475931238822
1,6,65.12972625491416
10,8,20.59958318891355
7,14,55.5147898981668
1,5,75.5834282366319
10,4,29.46165262590781
6,14,83.70110150113996
11,17,21.113014129862062
21,14,56.93893976237091
5,14,59.53101979060842
7,12,83.81191679862053
16,12,5.609706390662583
4,0,51.11271463443633
19,4,80.2923216254114
18,21,27.389562735388186
3,13,60.70789439874341
14,6,72.31602966551236
13,7,84.22035043978292
14,21,88.55742601361074
7,8,22.209793975422855
12,2,26.82842542369883
9,13,40.66027343845672
20,16,60.76831548626921
17,21,95.3034141424199
13,3,3.9121366379667344
9,15,7.432648830995669
21,13,1.6632343679649386
17,14,32.17142160453176
18,14,47.16123422843928
